"titleInfo.title","subject.topic","language.languageTerm"
"Business law in Japan-- cases and comments","[*] Corporation law [*] Intellectual property [*] Commercial law","[*] eng [*] English"
"formation and transmission of Western legal culture","[*] Practice of law [*] Corporation law [*] Intellectual property","[*] eng [*] English"
"Records of committees and boards of the Harvard Law School, 1829-1980 (inclusive)","[*] Administration [*] Study and teaching [*] Endowments [*] Graduate work [*] Vocational guidance [*] Graduate students [*] Degrees [*] Corporation law [*] Curricula [*] Alumni and alumnae [*] Planning [*] Statistics [*] International law [*] Practice of law [*] Intellectual property [*] Faculty [*] Societies, etc [*] Law [*] Funds and scholarships","[*] eng [*] English"
"International criminal law","[*] Administration [*] Study and teaching [*] Endowments International criminal law [*] Graduate work [*] Vocational guidance [*] Graduate students [*] Degrees [*] Corporation law [*] Curricula [*] Alumni and alumnae [*] Planning [*] Statistics [*] International law [*] Practice of law [*] Intellectual property [*] Faculty [*] Societies, etc [*] Law [*] Funds and scholarships","[*] eng [*] English"
"Finding English law","[*] Curricula [*] Administration [*] Study and teaching [*] Endowments International criminal law [*] Graduate work [*] Vocational guidance [*] Graduate students [*] Degrees [*] Alumni and alumnae [*] Planning [*] Statistics [*] International law [*] Faculty [*] Societies, etc [*] Law [*] Funds and scholarships","[*] eng [*] English"
"International law-making","[*] Curricula [*] International law [*] Administration [*] Study and teaching [*] Endowments International criminal law [*] Graduate work [*] Vocational guidance [*] Graduate students [*] Degrees [*] Alumni and alumnae [*] Planning [*] International relations [*] Societies, etc [*] Statistics [*] Law [*] Funds and scholarships [*] Faculty","[*] eng [*] English"
"Perspectives on conflict of laws","[*] Curricula [*] Administration [*] Study and teaching [*] Endowments International criminal law [*] Graduate work [*] Vocational guidance [*] Graduate students [*] Degrees [*] Alumni and alumnae [*] Planning [*] Statistics [*] International law [*] Societies, etc [*] Conflict of laws [*] Law [*] Funds and scholarships [*] Faculty","[*] eng [*] English"
"Roman law and the origins of the civil law tradition","[*] Curricula [*] Political science [*] Administration [*] Study and teaching [*] History [*] Endowments International criminal law [*] Graduate work [*] Vocational guidance [*] Graduate students [*] Degrees [*] International law [*] Roman law [*] Alumni and alumnae [*] Planning [*] Influence [*] Philosophy [*] Civil law [*] Statistics [*] Faculty [*] Comparative law [*] Societies, etc [*] Conflict of laws [*] Law [*] Funds and scholarships","[*] eng [*] English"
"Roman Law and the Origins of the Civil Law Tradition","[*] Curricula [*] Political science [*] Administration [*] Study and teaching [*] History [*] Endowments International criminal law [*] Graduate work [*] Graduate students [*] Degrees [*] International law [*] Theories of Law, Philosophy of Law, Legal History [*] Roman law [*] Alumni and alumnae [*] Planning [*] Vocational guidance [*] History, general [*] Influence [*] Philosophy [*] Private international law [*] Philosophy of Law [*] Statistics [*] Civil law [*] Comparative law [*] Faculty [*] Societies, etc [*] Conflict of laws [*] Law [*] Funds and scholarships [*] Private International Law, International & Foreign Law, Comparative Law","[*] eng [*] English"
"Customary law and economics","[*] Curricula [*] Political science [*] Administration [*] Study and teaching [*] History [*] Endowments International criminal law [*] Graduate work [*] Graduate students [*] Degrees [*] International law [*] Economic aspects [*] Theories of Law, Philosophy of Law, Legal History [*] Roman law [*] Alumni and alumnae [*] Planning [*] Vocational guidance [*] History, general [*] Influence [*] Philosophy [*] Private international law [*] Philosophy of Law [*] Law and economics [*] Statistics [*] Civil law [*] Comparative law [*] Faculty [*] Customary law [*] Societies, etc [*] Conflict of laws [*] Law [*] Funds and scholarships [*] Private International Law, International & Foreign Law, Comparative Law","[*] English [*] eng"
"Classics in comparative law","[*] Curricula [*] Political science [*] Administration [*] Study and teaching [*] History [*] Endowments [*] Civil law [*] Graduate work [*] Graduate students [*] Degrees [*] International law [*] Economic aspects Comparative law [*] Theories of Law, Philosophy of Law, Legal History [*] Roman law [*] Alumni and alumnae [*] Planning [*] Vocational guidance [*] History, general [*] Influence [*] Philosophy [*] Private international law [*] Philosophy of Law [*] Law and economics [*] Statistics [*] Comparative law [*] Faculty [*] Customary law [*] Societies, etc [*] Conflict of laws [*] Law [*] Funds and scholarships [*] Private International Law, International & Foreign Law, Comparative Law","[*] eng [*] English"
"Copyright","[*] Curricula [*] Political science [*] Administration [*] Study and teaching [*] Civil law [*] History [*] Societies, etc [*] Graduate work [*] Graduate students [*] International law [*] Economic aspects [*] Theories of Law, Philosophy of Law, Legal History [*] Roman law [*] Alumni and alumnae [*] Vocational guidance [*] Degrees [*] History, general [*] Influence [*] Philosophy [*] Planning [*] Private international law [*] Philosophy of Law [*] Statistics Copyright [*] Comparative law [*] Faculty [*] Customary law [*] Law and economics [*] Endowments [*] Conflict of laws [*] Law [*] Funds and scholarships [*] Private International Law, International & Foreign Law, Comparative Law","[*] eng [*] English"
"citizen in European private law","[*] Curricula [*] Vocational guidance [*] Persons (Law) [*] Administration [*] Study and teaching [*] History [*] Endowments [*] Graduate work [*] Graduate students [*] International law [*] Bürger [*] Economic aspects [*] Privatrecht [*] Roman law [*] Alumni and alumnae [*] Freedom of movement [*] Degrees [*] Influence [*] Philosophy [*] Planning [*] Dispute resolution (Law) [*] Commercial law [*] Statistics Copyright [*] Civil law [*] Customary law [*] Law and economics [*] Societies, etc [*] 86.39 civil law: other [*] Conflict of laws [*] Law [*] Funds and scholarships [*] Faculty","[*] English [*] eng"
"New directions for law in Australia","[*] Curricula [*] Vocational guidance [*] Persons (Law) [*] Essays [*] Australian [*] Administration [*] Study and teaching [*] Societies, etc [*] Graduate work [*] Graduate students [*] Degrees [*] Economic aspects [*] Law reform [*] Customary law [*] Roman law [*] 86.39 civil law: other [*] Freedom of movement [*] Alumni and alumnae [*] Influence [*] Philosophy [*] Planning [*] International law [*] Dispute resolution (Law) [*] Commercial law [*] Statistics Copyright [*] Civil law [*] History [*] Endowments [*] Conflict of laws [*] Law [*] Funds and scholarships [*] Faculty","[*] English [*] eng"
"Cross-border insolvency","[*] Societies, etc [*] Vocational guidance [*] International commercial arbitration [*] Persons (Law) [*] Essays [*] Administration [*] Faculty [*] Study and teaching [*] LAW / Jurisprudence [*] Bankruptcy [*] Graduate work [*] Graduate students [*] Degrees [*] Economic aspects [*] Law reform [*] Roman law [*] 86.39 civil law: other [*] Alumni and alumnae [*] Freedom of movement [*] LAW / Reference [*] Influence [*] Philosophy [*] Planning [*] International law [*] Commercial law [*] Debtor and creditor [*] Statistics Copyright [*] History [*] Customary law [*] LAW / Practical Guides [*] LAW / Essays [*] LAW / General Practice [*] Curricula [*] Endowments [*] Conflict of laws [*] LAW / Paralegals & Paralegalism [*] Law [*] Funds and scholarships","[*] eng [*] English"
"[*] Treatise on law Cross-border insolvency [*] Summa theologica. Selections. English","[*] Societies, etc [*] Vocational guidance [*] International commercial arbitration [*] Persons (Law) [*] Curricula [*] Administration [*] Faculty [*] Study and teaching [*] LAW / Jurisprudence [*] Bankruptcy [*] Graduate work [*] Graduate students [*] Degrees [*] Economic aspects [*] Law reform [*] Roman law [*] 86.39 civil law: other [*] Alumni and alumnae [*] Natural law [*] Freedom of movement [*] LAW / Reference [*] Influence [*] Philosophy [*] Planning [*] International law [*] Endowments [*] Commercial law [*] Debtor and creditor [*] Statistics Copyright [*] Customary law [*] LAW / Essays [*] LAW / Paralegals & Paralegalism [*] LAW / General Practice [*] LAW / Practical Guides [*] Essays [*] Conflict of laws [*] Law [*] Funds and scholarships","[*] eng [*] lat [*] English"
"Aboriginal customary law [*] Summa theologica. Selections. English [*] Treatise on law","[*] Societies, etc [*] Vocational guidance [*] Law and legislation [*] International commercial arbitration [*] Persons (Law) [*] Faculty [*] Study and teaching [*] LAW / Jurisprudence [*] Bankruptcy [*] Common law [*] Graduate work [*] Graduate students [*] Degrees [*] Legal status, laws, etc [*] Economic aspects [*] Law reform [*] Administration [*] Curricula [*] 86.39 civil law: other [*] Alumni and alumnae [*] Natural law [*] Freedom of movement [*] LAW / Reference [*] Indigenous peoples [*] Planning [*] Aboriginal Australians [*] International law [*] Debtor and creditor [*] Statistics Copyright [*] Endowments [*] Customary law [*] LAW / Essays [*] LAW / General Practice [*] Essays [*] Land tenure [*] Conflict of laws [*] Law [*] Funds and scholarships [*] Native title (Australia)","[*] eng [*] lat [*] English"
"[*] Treatise on law Conflict of laws: Mexico and the United States [*] Summa theologica. Selections. English","[*] Societies, etc [*] Vocational guidance [*] Law and legislation [*] International commercial arbitration [*] Persons (Law) [*] Faculty [*] Study and teaching [*] LAW / Jurisprudence [*] Bankruptcy [*] Common law [*] Graduate work [*] Graduate students [*] Degrees [*] Legal status, laws, etc [*] Economic aspects [*] Administration [*] Customary law [*] Curricula [*] 86.39 civil law: other [*] Alumni and alumnae [*] Natural law [*] Freedom of movement [*] LAW / Reference [*] Indigenous peoples [*] Planning [*] Aboriginal Australians [*] International law [*] Debtor and creditor [*] Statistics Copyright [*] Endowments [*] LAW / Essays [*] LAW / General Practice [*] Essays [*] Land tenure [*] Conflict of laws [*] Law [*] Funds and scholarships","[*] eng [*] lat [*] English"
"[*] Reflections on Canada's past, present and future in international law = Conflict of laws: Mexico and the United States [*] Réflexions sur le passé, le présent et l'avenir du Canada en matière de droit international","[*] Societies, etc [*] International law [*] Law and legislation [*] International commercial arbitration [*] Persons (Law) [*] Administration [*] Faculty [*] Study and teaching [*] LAW / Jurisprudence [*] Common law [*] Graduate work [*] Graduate students [*] Degrees [*] Legal status, laws, etc [*] Economic aspects Copyright [*] Customary law [*] Curricula [*] 86.39 civil law: other [*] Vocational guidance [*] Natural law [*] Freedom of movement [*] LAW / Reference [*] Alumni and alumnae [*] Indigenous peoples [*] Planning [*] Aboriginal Australians [*] Debtor and creditor [*] Statistics [*] Endowments [*] LAW / Essays [*] LAW / General Practice [*] International and municipal law [*] Bankruptcy [*] Land tenure [*] Conflict of laws [*] Law [*] Funds and scholarships","[*] eng [*] fre [*] English"
"Judicial practice, customary international criminal law and nullum crimen sine lege [*] Reflections on Canada's past, present and future in international law = [*] Réflexions sur le passé, le présent et l'avenir du Canada en matière de droit international","[*] Societies, etc [*] International law [*] Law and legislation [*] Persons (Law) [*] Administration [*] Faculty [*] Study and teaching [*] LAW / Jurisprudence [*] Judicial process [*] Bankruptcy [*] Customary law [*] Graduate work [*] Graduate students [*] Degrees [*] Legal status, laws, etc [*] Economic aspects Copyright [*] Customary law, International [*] International criminal courts [*] Curricula [*] 86.39 civil law: other [*] Planning [*] Vocational guidance [*] LAW / Reference [*] Alumni and alumnae [*] Indigenous peoples [*] International criminal law [*] Aboriginal Australians [*] Debtor and creditor [*] Statistics [*] Endowments [*] Ex post facto laws [*] LAW / Essays [*] LAW / Paralegals & Paralegalism [*] LAW / General Practice [*] LAW / Practical Guides [*] Land tenure [*] Conflict of laws [*] Law [*] Funds and scholarships","[*] eng [*] fre [*] English"
"[*] Reflections on Canada's past, present and future in international law = [*] Réflexions sur le passé, le présent et l'avenir du Canada en matière de droit international Wild law","[*] International law [*] Law and legislation [*] Persons (Law) [*] LAW / General / bisacsh [*] Faculty [*] Study and teaching [*] LAW / Environmental [*] LAW / Jurisprudence [*] Bankruptcy [*] Graduate work [*] Graduate students [*] Degrees [*] Legal status, laws, etc [*] Economic aspects [*] Administration Copyright [*] Curricula [*] 86.39 civil law: other [*] Planning [*] Vocational guidance [*] Environmental law [*] Alumni and alumnae [*] Indigenous peoples [*] International criminal law [*] Philosophy [*] LAW / General [*] Aboriginal Australians [*] Debtor and creditor [*] Statistics [*] Societies, etc [*] Endowments [*] Ex post facto laws [*] LAW / Paralegals & Paralegalism [*] Customary law [*] LAW / Jurisprudence / bisacsh [*] Judicial process [*] Land tenure [*] LAW / Environmental / bisacsh [*] Conflict of laws [*] Law [*] Funds and scholarships [*] Environmental law, International","[*] eng [*] fre [*] English"
"Sexual orientation, gender identities, and the law [*] Réflexions sur le passé, le présent et l'avenir du Canada en matière de droit international [*] Reflections on Canada's past, present and future in international law =","[*] International law [*] Law and legislation [*] Gay rights [*] Persons (Law) [*] LAW / Environmental [*] Faculty [*] Study and teaching [*] LAW / Jurisprudence [*] Endowments [*] LAW / General [*] Gays [*] Graduate work [*] International criminal law [*] Graduate students [*] Transgender people [*] Degrees [*] Legal status, laws, etc [*] Economic aspects [*] Administration Copyright [*] Curricula [*] Sexual orientation [*] Planning [*] Vocational guidance [*] Environmental law [*] Alumni and alumnae [*] Indigenous peoples [*] Philosophy [*] Funds and scholarships [*] Sex and law [*] Statistics [*] Sexual minorities [*] Ex post facto laws [*] Customary law [*] LAW / Jurisprudence / bisacsh [*] Societies, etc [*] Transsexuals [*] Land tenure [*] Gender identity [*] Law [*] Homosexuality [*] Environmental law, International","[*] eng [*] English [*] fre"
"[*] Réflexions sur le passé, le présent et l'avenir du Canada en matière de droit international [*] Reflections on Canada's past, present and future in international law = Laws of Lagos State, 2015","[*] International law [*] Law and legislation [*] Gay rights [*] Persons (Law) [*] LAW / Environmental [*] Faculty [*] Study and teaching [*] Transgender people [*] LAW / Jurisprudence [*] Endowments [*] LAW / General [*] Gays [*] Graduate work [*] Graduate students [*] Degrees [*] Legal status, laws, etc [*] Economic aspects [*] Administration Copyright [*] Curricula [*] Sexual orientation [*] Planning [*] Vocational guidance [*] Environmental law [*] Alumni and alumnae [*] Indigenous peoples [*] International criminal law [*] Philosophy [*] Funds and scholarships [*] Sex and law [*] Statistics [*] Sexual minorities [*] Ex post facto laws [*] Customary law [*] LAW / Jurisprudence / bisacsh [*] Societies, etc [*] Transsexuals [*] Land tenure [*] Gender identity [*] Law [*] Homosexuality [*] Environmental law, International","[*] eng [*] English [*] fre"
"Enforcement and Effectiveness of Consumer Law [*] Réflexions sur le passé, le présent et l'avenir du Canada en matière de droit international [*] Reflections on Canada's past, present and future in international law =","[*] Persons (Law) [*] Study and teaching [*] Transgender people [*] Graduate work [*] Graduate students [*] Degrees [*] Economic aspects [*] Planning [*] Environmental law [*] Statistics [*] Gender identity Copyright [*] Ex post facto laws [*] Business ethics [*] Transsexuals [*] Law [*] Homosexuality [*] Private International Law, International & Foreign Law, Comparative Law [*] Environmental law, International [*] Business Law [*] Law and legislation [*] Gays [*] Curricula [*] Alumni and alumnae [*] Indigenous peoples [*] International criminal law [*] Philosophy [*] Customary law [*] Commercial law [*] LAW / Jurisprudence / bisacsh [*] Land tenure [*] Faculty [*] Gay rights [*] Endowments [*] Sexual orientation [*] Sexual minorities [*] International Economic Law, Trade Law [*] Societies, etc [*] European Law [*] Vocational guidance [*] Legal status, laws, etc [*] Administration [*] Business Ethics [*] Sex and law [*] International law [*] Funds and scholarships","[*] English [*] eng [*] fre"
"[*] Réflexions sur le passé, le présent et l'avenir du Canada en matière de droit international [*] Reflections on Canada's past, present and future in international law = art of law in Shakespeare","[*] Persons (Law) [*] History [*] Transgender people [*] Graduate work [*] Graduate students [*] Degrees [*] Economic aspects [*] Environmental law [*] Statistics [*] Gender identity Copyright [*] Study and teaching [*] Ex post facto laws [*] Business ethics [*] Transsexuals [*] Law [*] Homosexuality [*] Private International Law, International & Foreign Law, Comparative Law [*] Business Law [*] Law and legislation [*] Gays [*] Curricula [*] Alumni and alumnae [*] Indigenous peoples [*] International criminal law [*] Philosophy [*] Customary law [*] Commercial law [*] LAW / Jurisprudence / bisacsh [*] Land tenure [*] Faculty [*] Gay rights [*] Law and literature [*] Endowments [*] Sexual orientation [*] Planning [*] Knowledge [*] Sexual minorities [*] International Economic Law, Trade Law [*] Societies, etc [*] European Law [*] Law in literature [*] Vocational guidance [*] Legal status, laws, etc [*] Administration [*] Business Ethics [*] Sex and law [*] International law [*] Funds and scholarships","[*] fre [*] English [*] eng"
"[*] Réflexions sur le passé, le présent et l'avenir du Canada en matière de droit international [*] Reflections on Canada's past, present and future in international law = grandes coustumes generalles et particulieres du royaulme de France","[*] History [*] Transgender people [*] Graduate work [*] Graduate students [*] Degrees [*] Economic aspects [*] Planning [*] Environmental law [*] Statistics [*] Gender identity Copyright [*] Study and teaching [*] Transsexuals [*] Law [*] Homosexuality [*] Law and legislation [*] Gays [*] Curricula [*] Alumni and alumnae [*] Indigenous peoples [*] Philosophy [*] Customary law [*] Land tenure [*] Faculty [*] Law and literature [*] Endowments [*] Knowledge [*] Sexual minorities [*] Societies, etc [*] Vocational guidance [*] International law [*] Legal status, laws, etc [*] Funds and scholarships","[*] Latin [*] fre [*] eng [*] English [*] lat"
"Netherlands Yearbook of International Law 2014 [*] Réflexions sur le passé, le présent et l'avenir du Canada en matière de droit international [*] Reflections on Canada's past, present and future in international law =","[*] History [*] Transgender people [*] Graduate work [*] Graduate students [*] Economic aspects [*] Planning [*] Environmental law [*] Statistics [*] Gender identity Copyright [*] Study and teaching [*] Transsexuals [*] Law [*] Homosexuality [*] Environmental law, International [*] Law and legislation [*] Humanitarian law [*] Gays [*] Curricula [*] Alumni and alumnae [*] Degrees [*] Indigenous peoples [*] International criminal law [*] Philosophy [*] Customary law [*] Land tenure [*] Faculty [*] Law and literature [*] Endowments [*] Knowledge [*] Sexual minorities [*] Societies, etc [*] Human rights [*] International Humanitarian Law, Law of Armed Conflict [*] Vocational guidance [*] Legal status, laws, etc [*] International law [*] Funds and scholarships","[*] eng [*] English [*] fre"
"Netherlands Yearbook of International Law 2014 [*] Women and Muslim family laws in Arab states [*] Muslim family laws in Arab states","[*] Domestic relations (Islamic law) [*] History [*] Transgender people [*] Graduate work [*] Graduate students [*] Degrees [*] Economic aspects [*] Planning [*] Environmental law [*] Statistics [*] Gender identity Copyright [*] Study and teaching [*] Islam [*] Frau [*] Transsexuals [*] Law [*] Law and legislation [*] Women (Islamic law) [*] Gays [*] Vrouwen [*] Islamic law [*] Indigenous peoples [*] Philosophy [*] Customary law [*] Land tenure [*] Faculty [*] Law and literature [*] Endowments [*] Familienrecht [*] Muslim women [*] Knowledge [*] Married women (Islamic law) [*] Personenrecht [*] Human rights [*] International Humanitarian Law, Law of Armed Conflict [*] Vocational guidance [*] Legal status, laws, etc [*] Codification [*] Familierecht [*] Islamitische wereld [*] International law [*] Funds and scholarships","[*] fre [*] eng [*] English"
